agency	site_no	date	cfs	actual
USGS	09180500	1994-01-01	4020	A
USGS	09180500	1994-01-02	4000	A
USGS	09180500	1994-01-03	4100	A
USGS	09180500	1994-01-04	4290	A
USGS	09180500	1994-01-05	4280	A
USGS	09180500	1994-01-06	4330	A
USGS	09180500	1994-01-07	4230	A
USGS	09180500	1994-01-08	4120	A
USGS	09180500	1994-01-09	4020	A
USGS	09180500	1994-01-10	4010	A
USGS	09180500	1994-01-11	4110	A
USGS	09180500	1994-01-12	4030	A
USGS	09180500	1994-01-13	3920	A
USGS	09180500	1994-01-14	3960	A
USGS	09180500	1994-01-15	3910	A
USGS	09180500	1994-01-16	3810	A
USGS	09180500	1994-01-17	3640	A
USGS	09180500	1994-01-18	3410	A
USGS	09180500	1994-01-19	3280	A
USGS	09180500	1994-01-20	3330	A
USGS	09180500	1994-01-21	3290	A
USGS	09180500	1994-01-22	3280	A
USGS	09180500	1994-01-23	3250	A
USGS	09180500	1994-01-24	3240	A
USGS	09180500	1994-01-25	3290	A
USGS	09180500	1994-01-26	3400	A
USGS	09180500	1994-01-27	3440	A
USGS	09180500	1994-01-28	3480	A
USGS	09180500	1994-01-29	3350	A
USGS	09180500	1994-01-30	3200	A
USGS	09180500	1994-01-31	3070	A
USGS	09180500	1994-02-01	2830	A
USGS	09180500	1994-02-02	2620	A
USGS	09180500	1994-02-03	2620	A
USGS	09180500	1994-02-04	2830	A
USGS	09180500	1994-02-05	2930	A
USGS	09180500	1994-02-06	3060	A
USGS	09180500	1994-02-07	3160	A
USGS	09180500	1994-02-08	3180	A
USGS	09180500	1994-02-09	3310	A
USGS	09180500	1994-02-10	3360	A
USGS	09180500	1994-02-11	3230	A
USGS	09180500	1994-02-12	3200	A
USGS	09180500	1994-02-13	3160	A
USGS	09180500	1994-02-14	3000	A
USGS	09180500	1994-02-15	2880	A
USGS	09180500	1994-02-16	2930	A
USGS	09180500	1994-02-17	2980	A
USGS	09180500	1994-02-18	3070	A
USGS	09180500	1994-02-19	3560	A
USGS	09180500	1994-02-20	3640	A
USGS	09180500	1994-02-21	3360	A
USGS	09180500	1994-02-22	3280	A
USGS	09180500	1994-02-23	3250	A
USGS	09180500	1994-02-24	3160	A
USGS	09180500	1994-02-25	3020	A
USGS	09180500	1994-02-26	3110	A
USGS	09180500	1994-02-27	3420	A
USGS	09180500	1994-02-28	3760	A
USGS	09180500	1994-03-01	3760	A
USGS	09180500	1994-03-02	3610	A
USGS	09180500	1994-03-03	3560	A
USGS	09180500	1994-03-04	3630	A
USGS	09180500	1994-03-05	3890	A
USGS	09180500	1994-03-06	3830	A
USGS	09180500	1994-03-07	3900	A
USGS	09180500	1994-03-08	3840	A
USGS	09180500	1994-03-09	3750	A
USGS	09180500	1994-03-10	3650	A
USGS	09180500	1994-03-11	3490	A
USGS	09180500	1994-03-12	3270	A
USGS	09180500	1994-03-13	3400	A
USGS	09180500	1994-03-14	3370	A
USGS	09180500	1994-03-15	3370	A
USGS	09180500	1994-03-16	3420	A
USGS	09180500	1994-03-17	3560	A
USGS	09180500	1994-03-18	3690	A
USGS	09180500	1994-03-19	3740	A
USGS	09180500	1994-03-20	3690	A
USGS	09180500	1994-03-21	3810	A
USGS	09180500	1994-03-22	4010	A
USGS	09180500	1994-03-23	4020	A
USGS	09180500	1994-03-24	4150	A
USGS	09180500	1994-03-25	4160	A
USGS	09180500	1994-03-26	4090	A
USGS	09180500	1994-03-27	3900	A
USGS	09180500	1994-03-28	3700	A
USGS	09180500	1994-03-29	3500	A
USGS	09180500	1994-03-30	3390	A
USGS	09180500	1994-03-31	3420	A
USGS	09180500	1994-04-01	3430	A
USGS	09180500	1994-04-02	3500	A
USGS	09180500	1994-04-03	3810	A
USGS	09180500	1994-04-04	3930	A
USGS	09180500	1994-04-05	3990	A
USGS	09180500	1994-04-06	4030	A
USGS	09180500	1994-04-07	3850	A
USGS	09180500	1994-04-08	3530	A
USGS	09180500	1994-04-09	3660	A
USGS	09180500	1994-04-10	3750	A
USGS	09180500	1994-04-11	3670	A
USGS	09180500	1994-04-12	3530	A
USGS	09180500	1994-04-13	3490	A
USGS	09180500	1994-04-14	3350	A
USGS	09180500	1994-04-15	3390	A
USGS	09180500	1994-04-16	3770	A
USGS	09180500	1994-04-17	3790	A
USGS	09180500	1994-04-18	4260	A
USGS	09180500	1994-04-19	4780	A
USGS	09180500	1994-04-20	5180	A
USGS	09180500	1994-04-21	5740	A
USGS	09180500	1994-04-22	6480	A
USGS	09180500	1994-04-23	7360	A
USGS	09180500	1994-04-24	8060	A
USGS	09180500	1994-04-25	8530	A
USGS	09180500	1994-04-26	8680	A
USGS	09180500	1994-04-27	8030	A
USGS	09180500	1994-04-28	7100	A
USGS	09180500	1994-04-29	6340	A
USGS	09180500	1994-04-30	5910	A
USGS	09180500	1994-05-01	5720	A
USGS	09180500	1994-05-02	5720	A
USGS	09180500	1994-05-03	6130	A
USGS	09180500	1994-05-04	6090	A
USGS	09180500	1994-05-05	5860	A
USGS	09180500	1994-05-06	6010	A
USGS	09180500	1994-05-07	7370	A
USGS	09180500	1994-05-08	9450	A
USGS	09180500	1994-05-09	10400	A
USGS	09180500	1994-05-10	11100	A
USGS	09180500	1994-05-11	11100	A
USGS	09180500	1994-05-12	10800	A
USGS	09180500	1994-05-13	11700	A
USGS	09180500	1994-05-14	12800	A
USGS	09180500	1994-05-15	12800	A
USGS	09180500	1994-05-16	13100	A
USGS	09180500	1994-05-17	12900	A
USGS	09180500	1994-05-18	13600	A
USGS	09180500	1994-05-19	14200	A
USGS	09180500	1994-05-20	14500	A
USGS	09180500	1994-05-21	15000	A
USGS	09180500	1994-05-22	14700	A
USGS	09180500	1994-05-23	14300	A
USGS	09180500	1994-05-24	14100	A
USGS	09180500	1994-05-25	13500	A
USGS	09180500	1994-05-26	12700	A
USGS	09180500	1994-05-27	12300	A
USGS	09180500	1994-05-28	11600	A
USGS	09180500	1994-05-29	12000	A
USGS	09180500	1994-05-30	12700	A
USGS	09180500	1994-05-31	12800	A
USGS	09180500	1994-06-01	13500	A
USGS	09180500	1994-06-02	14400	A
USGS	09180500	1994-06-03	14300	A
USGS	09180500	1994-06-04	13900	A
USGS	09180500	1994-06-05	13800	A
USGS	09180500	1994-06-06	13300	A
USGS	09180500	1994-06-07	12600	A
USGS	09180500	1994-06-08	11500	A
USGS	09180500	1994-06-09	10500	A
USGS	09180500	1994-06-10	9730	A
USGS	09180500	1994-06-11	9150	A
USGS	09180500	1994-06-12	8790	A
USGS	09180500	1994-06-13	8560	A
USGS	09180500	1994-06-14	8360	A
USGS	09180500	1994-06-15	7890	A
USGS	09180500	1994-06-16	7470	A
USGS	09180500	1994-06-17	6990	A
USGS	09180500	1994-06-18	6430	A
USGS	09180500	1994-06-19	6140	A
USGS	09180500	1994-06-20	6150	A
USGS	09180500	1994-06-21	6450	A
USGS	09180500	1994-06-22	6790	A
USGS	09180500	1994-06-23	7450	A
USGS	09180500	1994-06-24	8090	A
USGS	09180500	1994-06-25	7190	A
USGS	09180500	1994-06-26	6470	A
USGS	09180500	1994-06-27	5860	A
USGS	09180500	1994-06-28	5260	A
USGS	09180500	1994-06-29	4700	A
USGS	09180500	1994-06-30	4350	A
USGS	09180500	1994-07-01	4160	A
USGS	09180500	1994-07-02	3920	A
USGS	09180500	1994-07-03	3710	A
USGS	09180500	1994-07-04	3710	A
USGS	09180500	1994-07-05	3670	A
USGS	09180500	1994-07-06	3560	A
USGS	09180500	1994-07-07	3280	A
USGS	09180500	1994-07-08	3040	A
USGS	09180500	1994-07-09	2950	A
USGS	09180500	1994-07-10	2940	A
USGS	09180500	1994-07-11	2880	A
USGS	09180500	1994-07-12	2900	A
USGS	09180500	1994-07-13	2780	A
USGS	09180500	1994-07-14	2710	A
USGS	09180500	1994-07-15	2650	A
USGS	09180500	1994-07-16	2600	A
USGS	09180500	1994-07-17	2590	A
USGS	09180500	1994-07-18	2490	A
USGS	09180500	1994-07-19	2460	A
USGS	09180500	1994-07-20	2550	A
USGS	09180500	1994-07-21	2540	A
USGS	09180500	1994-07-22	2490	A
USGS	09180500	1994-07-23	2370	A
USGS	09180500	1994-07-24	2270	A
USGS	09180500	1994-07-25	2230	A
USGS	09180500	1994-07-26	2350	A
USGS	09180500	1994-07-27	2340	A
USGS	09180500	1994-07-28	2170	A
USGS	09180500	1994-07-29	2010	A
USGS	09180500	1994-07-30	1910	A
USGS	09180500	1994-07-31	1920	A
USGS	09180500	1994-08-01	2120	A
USGS	09180500	1994-08-02	2270	A
USGS	09180500	1994-08-03	2200	A
USGS	09180500	1994-08-04	2180	A
USGS	09180500	1994-08-05	2180	A
USGS	09180500	1994-08-06	2050	A
USGS	09180500	1994-08-07	1930	A
USGS	09180500	1994-08-08	1910	A
USGS	09180500	1994-08-09	2030	A
USGS	09180500	1994-08-10	2330	A
USGS	09180500	1994-08-11	2710	A
USGS	09180500	1994-08-12	2740	A
USGS	09180500	1994-08-13	2620	A
USGS	09180500	1994-08-14	2600	A
USGS	09180500	1994-08-15	2590	A
USGS	09180500	1994-08-16	2780	A
USGS	09180500	1994-08-17	2700	A
USGS	09180500	1994-08-18	2520	A
USGS	09180500	1994-08-19	2420	A
